Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Date	Begin Hour	Begin Path	Begin File	File Offset (s)	Delta Time (s)	SNR NIST Quick (dB)	Tag	Notes	VF2
1	Spectrogram 1	2	34929.052000000	34929.938000000	21.400	192.800		9	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20150922/71485MD03_002K_M12_multi_20150922_093000Z.aif	71485MD03_002K_M12_multi_20150922_093000Z.aif	729.0520	0.8860	14.60	NARW	?	v
2	Spectrogram 1	8	101892.383000000	101894.138000000	73.900	217.400		28	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20151113/71485MD03_002K_M12_multi_20151113_041500Z.aif	71485MD03_002K_M12_multi_20151113_041500Z.aif	192.3830	1.7550	18.46	NARW		v
3	Spectrogram 1	9	101894.421000000	101896.006000000	73.900	208.700		28	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20151113/71485MD03_002K_M12_multi_20151113_041500Z.aif	71485MD03_002K_M12_multi_20151113_041500Z.aif	194.4210	1.5850	11.98	NARW		v
4	Spectrogram 1	7	101896.289000000	101898.157000000	69.600	208.700		28	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20151113/71485MD03_002K_M12_multi_20151113_041500Z.aif	71485MD03_002K_M12_multi_20151113_041500Z.aif	196.2890	1.8680	9.95	NARW		v
5	Spectrogram 1	5	101896.798000000	101898.213000000	73.900	213.000		28	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20151113/71485MD03_002K_M12_multi_20151113_041500Z.aif	71485MD03_002K_M12_multi_20151113_041500Z.aif	196.7980	1.4150	10.90	NARW		v
6	Spectrogram 1	11	101898.270000000	101899.855000000	78.300	221.700		28	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20151113/71485MD03_002K_M12_multi_20151113_041500Z.aif	71485MD03_002K_M12_multi_20151113_041500Z.aif	198.2700	1.5850	9.93	NARW		v
7	Spectrogram 1	8	101930.873000000	101933.193000000	60.900	182.600		28	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20151113/71485MD03_002K_M12_multi_20151113_041500Z.aif	71485MD03_002K_M12_multi_20151113_041500Z.aif	230.8730	2.3200	13.00	NARW		v
8	Spectrogram 1	9	101933.307000000	101935.458000000	43.500	182.600		28	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20151113/71485MD03_002K_M12_multi_20151113_041500Z.aif	71485MD03_002K_M12_multi_20151113_041500Z.aif	233.3070	2.1510	12.33	NARW		v
9	Spectrogram 1	7	101935.175000000	101937.099000000	52.200	204.300		28	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20151113/71485MD03_002K_M12_multi_20151113_041500Z.aif	71485MD03_002K_M12_multi_20151113_041500Z.aif	235.1750	1.9240	11.45	NARW		v
10	Spectrogram 1	5	101935.612000000	101937.480000000	48.100	206.700		28	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20151113/71485MD03_002K_M12_multi_20151113_041500Z.aif	71485MD03_002K_M12_multi_20151113_041500Z.aif	235.6120	1.8680	10.48	NARW		v
11	Spectrogram 1	8	101952.552000000	101955.269000000	56.500	308.700		28	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20151113/71485MD03_002K_M12_multi_20151113_041500Z.aif	71485MD03_002K_M12_multi_20151113_041500Z.aif	252.5520	2.7170	11.82	NARW		v
12	Spectrogram 1	9	101955.099000000	101957.250000000	65.200	313.000		28	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20151113/71485MD03_002K_M12_multi_20151113_041500Z.aif	71485MD03_002K_M12_multi_20151113_041500Z.aif	255.0990	2.1510	10.38	NARW		v
13	Spectrogram 1	7	101956.910000000	101958.892000000	69.600	352.200		28	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20151113/71485MD03_002K_M12_multi_20151113_041500Z.aif	71485MD03_002K_M12_multi_20151113_041500Z.aif	256.9100	1.9820	11.17	NARW		v
14	Spectrogram 1	3	113125.421000000	113126.780000000	91.300	226.100		31	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20151113/71485MD03_002K_M12_multi_20151113_071500Z.aif	71485MD03_002K_M12_multi_20151113_071500Z.aif	625.4210	1.3590	12.31	NARW	?	v
15	Spectrogram 1	3	113156.780000000	113158.251000000	73.900	230.400		31	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20151113/71485MD03_002K_M12_multi_20151113_071500Z.aif	71485MD03_002K_M12_multi_20151113_071500Z.aif	656.7800	1.4710	10.69	NARW	?	v
16	Spectrogram 1	8	113158.365000000	113159.659000000	0.000	287.000		31	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20151113/71485MD03_002K_M12_multi_20151113_071500Z.aif	71485MD03_002K_M12_multi_20151113_071500Z.aif	658.3650	1.2940	11.33	NARW		v
